# frankensim Level-B cross-code reference manifest v1
# generated by tools/vvref/solve_skfem.py (pinned by tools/vvref/uv.lock)
# columns: kind	case_id	field...	value
spec_echo	thermal-b-fin-film-v1	bc.z-lo.robin.h	60.0
spec_echo	thermal-b-fin-film-v1	bc.z-lo.robin.t_inf	295.0
spec_echo	thermal-b-fin-film-v1	bc.z-hi.axis	2.0
spec_echo	thermal-b-fin-film-v1	bc.z-hi.target	0.01
spec_echo	thermal-b-fin-film-v1	bc.z-hi.robin.h	60.0
spec_echo	thermal-b-fin-film-v1	bc.z-hi.robin.t_inf	295.0
probe	thermal-b-fin-film-v1	0	8	1	2	0.02	0.002	0.005	342.7033242242433
probe	thermal-b-fin-film-v1	1	16	1	2	0.04	0.002	0.005	340.13137677583194
probe	thermal-b-fin-film-v1	2	4	0	4	0.01	0.0	0.01	345.66935771049134
probe	thermal-b-fin-film-v1	3	12	2	0	0.03	0.004	0.0	340.7886108006277
probe	thermal-b-fin-film-v1	4	16	2	4	0.04	0.004	0.01	340.07223085398317
